@WordPOS	Ag,Bg,Dg,FREQTWO,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
麦克·金	nr:1,
麦克·雷蒙	nr:3,
麦克·马克迈特	nr:1,
麦克勒里	nz:1,
麦克哈菲	nr:1,
麦克尔·郝普	nr:2,
麦克布莱德	nr:1,
麦克德莫特	nr:3,
麦克拉克伦	nr:3,
麦克斯韦	nr:1,
麦克法兰	nr:1,
麦克法林	nr:1,
麦克法登	nr:1,
麦克白	nr:1,
麦克莱伦	nr:1,
麦克莱恩	nr:1,
麦克金塞	nz:1,
麦克雷	nr:9,
麦克风	n:6,
麦克马洪线	nz:1,n:1,
麦农	n:5,
麦冬草	n:1,
麦加	ns:21,
麦区	n:18,
麦卡莱斯特	nz:1,
麦卡锡	nr:3,
麦口	t:1,
麦吉	nz:1,
麦哲伦	nr:1,ns:1,
麦地	n:2,
麦地那	ns:2,
麦基	nr:2,
麦娥	nr:1,
麦子	n:29,
麦季	n:1,
麦客	n:7,
麦寮	nz:1,
麦尔尼克	nz:3,
麦尔科斯	nr:1,
麦岑	nr:1,
麦康奈尔	nr:1,
麦弗恩	nr:5,
麦当劳	nz:16,
麦得克	ns:1,
麦德林	nz:2,
麦德龙	nz:2,
麦拉勃·阿杰伊什维利	nr:1,
麦收	v:17,vn:24,
麦收区	n:3,
麦收地	n:1,
麦柯里	nr:25,
麦浪	n:5,
麦海	n:1,
麦田	n:70,
麦盖提乡	ns:1,
麦禾营镇	ns:1,
麦秆	n:4,
麦种	n:2,
麦科特	nz:1,
麦秸	n:17,
麦秸灰	n:1,
麦穗	n:7,
麦穗儿	n:2,
麦穗鱼	n:1,
麦粒	n:8,
麦糠	n:1,
麦纳麦	ns:3,
麦考米克	nz:1,
麦肯尼斯	nr:2,
麦芽	n:1,
麦芽糖	n:2,
麦苗	n:6,
麦苗儿	n:1,
麦茬	n:2,
麦茬儿	n:1,
麦草	n:1,
麦角新碱	n:1,
麦角胺	n:1,
麦角酸	n:1,
麦超	nr:1,
麦迪亚	ns:1,
麦迪亚省	ns:1,
麦迪逊	ns:2,
麦迪逊县	ns:2,
麦迪霉素	n:1,
麦道	nz:6,
麦道—１１	nz:1,
麦道—８０	nz:1,
麦道—９０	nz:1,
麦道—９５	nz:1,
麦道８２型	nz:1,
麦金利峰	ns:4,
麦金西	n:1,
麦雨	n:1,
麦顶	ns:1,
麦饭石	nz:1,n:2,
麦鸡	n:1,
麦麸	n:2,
麦鼎鸿	nr:1,
麸皮	n:1,
麻	a:3,nr:9,n:11,
麻业	n:3,
麻利	a:8,
麻利儿	a:1,
麻卵石	n:1,
麻团	n:1,
麻城	ns:5,
麻城市	ns:2,
麻子	n:1,
麻将	n:17,
麻将桌	n:1,
麻将牌	n:1,
麻尾	ns:1,
麻山区	ns:1,
麻店村	ns:1,
麻拉热	n:1,
麻旺区	ns:1,
麻木	a:13,an:1,
麻木不仁	i:10,
麻木树	ns:9,
麻栗坡县	ns:1,
麻洋镇	ns:1,
麻烦	a:31,v:2,vn:5,an:65,n:1,
麻烦事	n:7,
麻田	ns:1,
麻田晋	nr:1,
麻疹	n:6,
麻痹	a:11,v:5,vn:3,
麻痹大意	i:4,
麻省	ns:9,nz:3,
麻糖	n:3,
麻纱	n:1,
麻纺	b:1,
麻线	n:2,
麻织	b:1,
麻绳	n:2,
麻老	nr:1,
麻花	n:2,
麻药	n:1,
麻袋	q:2,n:5,
麻辣	z:1,
麻辣烫	n:5,
麻酥酥	z:1,
麻醉	v:2,vn:4,
麻醉剂	n:1,
麻醉品	n:7,
麻醉学	n:1,
麻醉师	n:2,
麻醉性	n:1,
麻醉术	n:1,
麻醉枪	n:1,
麻醉科	n:2,
麻醉药	n:1,
麻阳	ns:1,
麻雀	n:11,
麻雀声	n:1,
麻雀战	n:1,
麻黄	n:3,
麻黄碱	n:5,
麾下	n:10,
黄	a:123,nr:1051,v:3,Ng:1,j:46,an:1,
黄兴路	ns:1,
黄冈	ns:9,
黄冈市	ns:10,
黄初	nr:1,
黄包车	n:2,
黄南	ns:2,
黄历	n:1,
黄县	ns:1,
黄发	n:1,
黄叶	n:2,
黄啤酒	n:1,
黄土	nr:1,n:63,
黄土区	n:1,
黄土地	n:18,
黄土坡	n:6,
黄土层	n:2,
黄土庄	ns:1,
黄土路	n:1,
黄埔	ns:38,
黄埔港	ns:1,
黄壁庄	ns:1,
黄委会	j:1,
黄姜	n:1,
黄寺	ns:2,
黄尘	n:3,
黄山	ns:112,
黄山乡	ns:1,
黄山嘴	ns:1,
黄山市	ns:16,
黄山新村	ns:1,
黄山松	n:6,
黄山牌	nz:1,
黄山站	ns:2,
黄岛	ns:2,
黄岩	ns:5,
黄岩区	ns:1,
黄岩城	ns:1,
黄岩市	ns:4,
黄岩村	ns:4,
黄州	ns:1,
黄州区	ns:2,
黄巷楼	ns:1,
黄帝	nr:8,n:2,
黄帝内经	nz:3,
黄帝城	ns:2,
黄帝庙	ns:1,
黄帝陵	ns:20,n:3,
黄帽	n:6,
黄广	ns:1,
黄庄乡	ns:1,
黄庄村	ns:1,
黄彪	nr:12,
黄手帕	nz:1,
黄旗镇	ns:1,
黄昏	t:49,
黄晕	z:1,
黄村	ns:4,
黄杠	b:1,
黄杨	n:1,
黄松峪乡	ns:1,
黄某	nr:9,
黄柿乡	ns:1,
黄栗	n:14,
黄栗树	n:2,
黄桥	ns:1,
黄桷树	n:4,
黄梅	ns:2,
黄梅县	ns:3,
黄梅戏	n:3,
黄梅歌	n:1,
黄梨	n:1,
黄棉	n:1,
黄楼	ns:1,
黄榆树	n:1,
黄檗罗	n:2,
黄檗罗树	n:1,
黄歇口镇	ns:4,
黄毒	j:3,
黄毛丫头	l:1,
黄沙	n:15,
黄沙尾	nz:1,
黄河	nr:1,ns:381,nz:3,n:1,
黄河人	n:4,
黄河口	n:2,
黄河路	ns:2,
黄油	n:4,
黄泉	n:3,
黄泥	n:2,
黄泥内头岭	ns:1,
黄泥冲	ns:1,
黄泥岗镇	ns:1,
黄泥巴	n:1,
黄泥河	ns:3,
黄泥河镇	ns:3,
黄泥洼镇	ns:1,
黄洋界	ns:4,
黄洞乡	ns:1,
黄洲乡	ns:1,
黄浦	ns:6,
黄浦区	ns:4,
黄浦江	ns:4,
黄浦江畔	ns:6,
黄海	ns:63,nz:1,n:1,
黄淮	j:143,
黄淮海	j:5,
黄渡	ns:1,
黄渡镇	ns:1,
黄源	n:1,
黄漂	j:1,
黄漠漠	z:1,
黄潭村	ns:1,
黄澄澄	z:3,
黄热病	n:1,
黄焖	v:1,
黄片	n:1,
黄牌	n:40,
黄牌警告	l:11,
黄牛	n:13,
黄牛党	n:4,
黄狮村	ns:1,
黄瓜	n:37,
黄瓜秧	n:1,
黄田	ns:2,
黄白色	n:2,
黄石	ns:11,
黄石市	ns:13,
黄砂	n:3,
黄种	n:2,
黄竹	nz:1,n:1,
黄粱一梦	i:1,
黄粱梦	nz:2,
黄粱梦村	ns:1,
黄粱梦镇	ns:1,
黄粱美梦	l:1,
黄红颜鸟	n:1,
黄绒绒的	z:1,
黄继光连	nt:1,
黄绿色	n:1,
黄羊	n:3,
黄老	nr:2,
黄腊石	ns:1,
黄色	b:1,n:56,
黄色炸药	l:4,
黄芪	n:1,
黄花	ns:1,n:2,
黄花园	ns:1,
黄花岗	ns:4,n:1,
黄花鱼	n:1,
黄花鱼苗	n:2,
黄苓	n:1,
黄荆	n:1,
黄莺	n:1,
黄萝卜	n:1,
黄葵	n:1,
黄蒿	n:1,
黄蒿梁	ns:15,
黄蜂	n:1,
黄蜂队	nt:2,
黄衫	n:1,
黄褐色	n:2,
黄计工	j:1,
黄豆	n:7,
黄豆粉	n:1,
黄豆角	n:1,
黄赌毒	j:2,
黄连	n:6,
黄酒	n:4,
黄金	n:231,
黄金壳	n:1,
黄金屋	n:1,
黄金山	ns:1,
黄金时代	t:6,
黄金时间	n:8,
黄金村	ns:1,
黄金档	n:1,
黄金水道	n:6,
黄金葛	n:1,
黄钟大吕	i:7,
黄铜	n:2,
黄铜色	n:1,
黄陂	ns:1,
黄陂人	n:1,
黄陂县	ns:1,
黄陵	ns:1,j:6,
黄陵县	ns:2,
黄页	n:1,
黄风湿	nz:1,
黄骅	ns:2,
黄骅县	ns:1,
黄骅市	ns:4,
黄骅港	ns:1,
黄骅线	nz:1,
黄鱼村	n:1,
黄鳝	n:1,
黄鹂	n:1,
黄鹤楼	n:1,
黄龙	ns:5,
黄龙伞盖	n:1,
黄龙山	ns:1,
黄龙洞	ns:3,
黄龙溪	ns:4,
黄（河）	ns:1,
黄（骅港）	ns:1,
黄（骅）	ns:2,
黍	Ng:1,
黎	nr:125,j:125,
黎丽	nr:1,
黎以	j:1,
黎光	nr:1,
黎南线	nz:1,
黎城	ns:1,
黎塘	ns:2,
黎塞留	nr:2,
黎姆斯	nz:1,
黎寨	ns:1,
黎川县	ns:1,
黎巴嫩	ns:162,
黎巴嫩人	nz:1,
黎巴嫩共和国	ns:2,
黎平	ns:2,
黎平县	ns:3,
黎方	n:1,
黎族	nz:32,
黎明	nr:9,t:34,nz:6,
黎明—小筱	nz:4,
黎明俱乐部	nz:2,
黎明村	ns:6,
黎母	ns:2,
黎民	n:1,
黎民百姓	n:3,
黎洲	nr:2,
黎胞	n:1,
黎阳	nr:1,
黎黎	nr:1,nz:1,
黎黑	a:1,
黎（塘）	ns:2,
黏土	n:1,
黏度	n:2,
黏液	n:1,
黏稠度	n:1,
黑	a:235,nr:5,Ng:8,j:12,an:1,
黑乎乎	z:4,
黑乎乎的	z:1,
黑云山	ns:2,
黑五类	nz:3,
黑亮	z:2,
黑人	n:74,
黑人区	n:2,
黑体	n:1,
黑列巴	nz:1,
黑匣子	n:1,
黑压压	z:7,
黑发	n:4,
黑发人	n:1,
黑口	n:1,
黑台镇	ns:1,
黑名单	n:3,
黑呢	n:1,
黑呼	nz:2,
黑咕隆咚	z:1,
黑啤	j:1,
黑啤酒	n:1,
黑嘴鸥	n:4,
黑土	n:7,
黑土地	n:12,
黑墨水	n:1,
黑夜	t:1,n:23,
黑奥林	nz:1,
黑奴	n:1,
黑妞	nr:3,
黑子	n:1,
黑字	n:1,
黑客	n:24,
黑尔·毕什	nr:1,
黑山	ns:23,
黑山共和国	ns:18,
黑山县	ns:9,
黑山羊	n:2,
黑岛镇	ns:1,
黑工	n:3,
黑市	n:31,
黑幕	n:2,
黑幽幽	z:1,
黑心	n:2,
黑手	n:7,
黑手党	n:3,
黑方	n:6,
黑暗	a:37,an:15,n:1,
黑木	n:1,
黑木耳	n:2,
黑松	n:1,
黑松驿乡	ns:3,
黑板	n:30,
黑板报	n:16,
黑枷	nr:1,
黑格尔	nr:1,
黑格里格	nz:1,
黑棋	n:30,
黑森州	ns:1,
黑森林	ns:1,
黑水	ns:1,
黑沉沉	z:1,
黑沟	ns:1,
黑河	ns:8,
黑河市	ns:4,
黑油山	ns:1,
黑油油	z:2,
黑泽洋	nr:1,
黑洞	n:57,
黑洞洞	z:5,
黑海	ns:57,n:2,
黑液	n:10,
黑液碱	n:2,
黑滔滔	z:1,
黑漂	n:1,
黑漆漆	z:2,
黑潮	n:3,
黑点	n:1,
黑熊	n:2,
黑牢	n:1,
黑猩猩	n:2,
黑玉	n:1,
黑白	b:33,n:2,
黑白分明	i:3,
黑白片	n:1,
黑瞎子	n:1,
黑石	nz:1,
黑石寨	ns:1,
黑石礁	n:13,
黑石礁湾	ns:2,
黑社会	n:20,
黑种	n:1,
黑窝	n:1,
黑窝点	n:4,
黑箍	n:1,
黑米	n:1,
黑糊糊	z:3,
黑红	z:5,
黑纱	n:1,
黑线	n:2,
黑绸	n:1,
黑绿色	n:1,
黑绿黑绿	z:1,
黑老九	n:1,
黑胡椒	n:1,
黑脸	n:6,
黑脸种	n:1,
黑色	n:67,
黑色化	v:1,
黑色素	n:2,
黑色素瘤	n:1,
黑色金属	l:1,
黑芝麻	n:2,
黑芝麻糊	n:1,
黑茶	n:1,
黑衣	n:3,
黑衣人	n:1,
黑袍	n:2,
黑褐色	n:1,
黑豆	nr:6,n:2,
黑豆峪村	ns:1,
黑豹	n:4,
黑账	n:1,
黑货	n:2,
黑车	n:28,
黑道	n:4,
黑里寨	ns:1,
黑里寨镇	ns:1,
黑金	n:3,
黑钢	nr:1,
黑钱	n:5,
黑锅	n:1,
黑阵	n:1,
黑雪	nr:6,
黑非洲	ns:2,
黑颈鹤	n:7,
黑马	n:21,
黑鲈	n:1,
黑鸦	n:1,
黑鹰	nz:4,
黑鹰队	nt:1,
黑麦	n:1,
黑麦草	n:10,
黑黑	z:1,
黑黑压压	z:1,
黑黑的	z:1,
黑黑苍苍	z:1,
黑黝黝	z:2,
黑黢黢	z:1,
黑龙江	ns:264,
黑龙江团	n:1,
黑龙江省	ns:189,
黑龙江街	ns:1,
黑龙江队	nt:2,
黑龙港	ns:1,
黑龙队	nt:8,
黔	j:39,
黔东南州	ns:4,
黔北	ns:3,
黔南	ns:1,
黔南州	ns:1,
黔江	ns:22,
黔江县	ns:2,
黔生	nr:3,
黔西南	j:6,
黔西南州	ns:3,
黔阳县	ns:1,
黔驴技穷	i:1,
默	nr:2,v:1,Ng:2,vd:3,
默不作声	l:1,
默克	nz:1,
默克莱	ns:3,
默克莱市	ns:1,
默写	v:1,vn:1,
默农	nr:1,
默哀	v:7,
默坐	v:1,
默多克	nr:2,
默契	a:25,ad:1,an:7,
默对	v:1,
默庵	nr:1,
默念	v:1,
默想	v:3,vn:1,
默林	nz:1,
默涵	nr:6,
默然	nr:7,z:5,
默片	n:1,
默祷	v:2,
默认	v:6,vn:4,
默许	v:1,vn:1,
默诵	v:3,
默读	v:2,
默里	nr:5,
默默	d:95,z:1,
默默无言	i:1,
默默无语	l:4,
默默无闻	i:34,
黛	Ng:1,
黛云	nr:1,
黛伯拉·博达	nr:1,
黛博拉·帕里	nr:1,
黛瓦	n:1,
黛绿	b:1,n:1,
黝红	a:1,
黝黑	z:7,
黟县	ns:3,
黟山	ns:1,
黢	Ag:1,
黧黑	z:1,
黯淡	a:12,an:2,
黯然	z:8,
黯然失色	i:2,
黯然神伤	l:5,
鼎	nr:3,Ng:8,
鼎三	nr:1,
鼎力	a:1,d:8,n:1,vd:1,
鼎力相助	i:1,l:3,
鼎城	ns:3,
鼎城区	ns:1,
鼎山	nr:1,
鼎常	nr:2,
鼎文	nr:1,
鼎新牌ＣＳ—３０	nz:1,
鼎昌	nr:4,
鼎湖	ns:1,
鼎湖山	ns:1,
鼎球	nz:1,
鼎盛	z:10,
鼎盛期	n:2,
鼎立	v:4,
鼎篆	n:1,
鼎虹	nz:1,
鼎足	n:2,
鼎钧	nr:1,
鼎铭	nr:20,
鼎锅	n:1,
鼎革	nr:1,
鼐	nr:1,
鼓	a:3,Vg:3,v:50,n:12,
鼓乐	n:5,
鼓乐喧天	l:1,
鼓乐声	n:4,
鼓乐队	n:1,
鼓乐齐鸣	l:4,
鼓书	n:1,
鼓动	v:12,vn:9,
鼓励	v:891,vn:93,
鼓励奖	n:2,
鼓励类	n:4,
鼓劲	v:27,vn:1,
鼓号	n:1,
鼓号队	n:3,
鼓吹	v:33,
鼓吹者	n:1,
鼓商	nz:1,
鼓噪	v:1,vn:2,
鼓声	n:10,
鼓座	n:1,
鼓手	n:2,
鼓捣	v:4,
鼓掌	v:33,vn:2,
鼓掌声	n:1,
鼓曲	n:3,
鼓楼	ns:13,nz:2,n:2,
鼓楼区	ns:9,
鼓楼苑	ns:1,
鼓槌	n:1,
鼓气	v:1,
鼓浪屿	ns:3,
鼓浪屿港	ns:1,
鼓涨	v:1,
鼓点	n:3,
鼓王	n:1,
鼓翼欲飞	l:1,
鼓舞	a:6,v:147,vn:94,y:1,an:3,
鼓荡	v:2,
鼓角	n:2,
鼓足	v:3,
鼓足干劲	i:3,
鼓面	n:1,
鼓风机	n:1,
鼓魂	n:1,
鼓鼓	v:2,
鼓鼓掌	v:1,
鼓鼓的	z:2,
鼠	Ng:25,n:1,
鼠害	n:6,
鼠标	n:7,
鼠标器	n:1,
鼠疫	n:3,
鼠目寸光	i:1,
鼠类	n:2,
鼠粪	n:2,
鼠脑	n:2,
鼠腹	n:1,
鼠药	n:7,
鼠辈	n:1,
鼻	Ng:16,
鼻咽癌	n:1,
鼻子	n:26,
鼻孔	n:5,
鼻息	n:1,
鼻梁	n:4,
鼻梁骨	n:1,
鼻涕	n:3,
鼻炎	n:1,
鼻烟壶	n:4,
鼻祖	n:6,
鼻窦炎	n:2,
鼻端	n:1,
鼻翼	n:1,
鼻腔	n:1,
鼻舒丹	nz:1,
鼻血	n:1,
鼻部	n:1,
鼻青脸肿	l:3,
鼻饲	v:1,
鼾声	n:3,
齐	a:71,Tg:1,nr:167,d:49,v:17,j:2,
齐全	a:115,an:2,
齐刷刷	z:11,
齐力	ad:1,
齐勇	nr:1,
齐名	v:6,
齐唱	v:1,
齐声	d:11,
齐备	a:15,
齐天	z:2,
齐头并进	i:12,
齐奏	v:1,
齐奥尔科夫斯基	nz:1,
齐家	v:3,nz:1,
齐家治国平天下	i:1,
齐尔品	nr:1,
齐山区	ns:2,
齐岳山	ns:3,
齐市	j:2,
齐带	nr:1,
齐心	a:2,ad:6,an:1,
齐心协力	i:66,
齐心合力	i:5,
齐志	nr:2,
齐抓共建	l:1,
齐抓共管	l:41,
齐整	a:4,
齐整整	z:1,
齐整整地	z:1,
齐格勒	nr:1,
齐步	d:1,
齐步走	v:1,vn:1,l:1,
齐生	nr:1,
齐美	nr:1,
齐老	nr:1,
齐肩	v:1,
齐胸	v:3,
齐街乡	ns:1,
齐街镇	ns:1,
齐赫文斯基	nr:3,
齐达内	nr:7,
齐连	nr:7,
齐阁村	ns:1,
齐陶	nr:1,
齐集	v:3,
齐鲁	ns:4,j:1,nz:14,n:1,
齐鸣	v:8,
齐齐	nr:1,z:1,vd:1,
齐齐哈尔	ns:28,
齐齐哈尔市	ns:9,
齐齐哈尔队	nt:6,
齿	n:7,
齿冷	v:1,
齿垢	n:1,
齿斑	n:1,
齿科	n:1,
齿舞	ns:2,
齿轮	n:15,
齿轮厂	n:5,
齿轮油	n:4,
齿轮泵	n:2,
龃龉	n:4,
龄	q:1,Ng:11,
龇牙咧嘴	i:1,
龋齿	n:2,
龌龊	a:3,
龙	nr:124,j:2,n:129,
龙丰	nz:1,
龙丹	nz:1,
龙争虎斗	i:1,
龙云	nr:4,
龙井	nz:4,n:2,
龙井村	ns:1,
龙亭区	ns:1,
龙佳	nz:1,
龙俊	nr:2,
龙公岭子	ns:1,
龙凤	n:1,
龙凤乡	ns:1,
龙凤区	ns:2,
龙凤呈祥	i:2,nz:1,l:1,
龙凤鸟	n:1,
龙力	nz:2,
龙华	nz:2,
龙南县	ns:2,
龙卡	n:7,
龙卷风	n:14,
龙发	nz:1,
龙口	ns:14,n:1,
龙口人	n:2,
龙口市	ns:9,
龙吴	nz:1,
龙吴港	ns:3,
龙喜	nr:1,
龙固镇	ns:1,
龙型	b:1,n:2,
龙城	nr:1,ns:3,nz:1,n:1,
龙塘坝乡	ns:1,
龙多不治水	l:1,
龙头	nr:6,nz:1,n:297,
龙头乡	ns:5,
龙套	n:2,
龙子	n:1,
龙孚	nz:1,
龙安	nr:2,
龙宝	nr:1,
龙宝区	ns:1,
龙宫	n:3,
龙宫洞	ns:3,
龙寅	nz:1,
龙寺镇	ns:1,
龙尾	n:6,
龙尾山	ns:1,
龙山	ns:2,n:1,
龙山县	ns:3,
龙山集	ns:1,
龙岗	ns:1,
龙岗区	ns:4,
龙岩	ns:8,
龙岩坡	ns:2,
龙岩市	ns:4,
龙川	n:1,
龙川县	ns:3,
龙年	t:4,
龙庆	nz:2,
龙庆乡	ns:1,
龙庆峡	ns:2,
龙弟	nr:1,
龙归	ns:1,
龙形	n:2,
龙彪	nr:1,
龙彬	nr:3,
龙彼德	nr:2,
龙心	n:1,
龙文	nr:1,
龙文村	ns:1,
龙新	nr:1,
龙旗	n:1,
龙旺村	ns:1,
龙昌	nz:2,
龙曲集	ns:1,
龙果	nz:1,
龙柱	nr:1,
龙母	n:1,
龙母镇	ns:2,
龙水镇	ns:1,
龙汇	nz:4,
龙江	ns:4,
龙池山	ns:1,
龙沙	ns:1,
龙泉	ns:11,nz:8,
龙泉乡	ns:1,
龙泉区	ns:1,
龙泉山	ns:1,
龙泉驿	ns:21,
龙泉驿人	n:2,
龙泉驿区	ns:11,
龙法	ns:1,
龙泰	nz:1,
龙洞村	ns:1,
龙海市	ns:3,
龙港	ns:2,
龙港镇	ns:1,
龙游县	ns:1,
龙湖	ns:3,
龙湾	ns:1,
龙源	nz:1,
龙潭	ns:10,
龙潭乡	ns:1,
龙潭湖	ns:4,
龙潭镇	ns:1,
龙灯	n:7,
龙然	nz:1,
龙爪槐	n:1,
龙牡壮骨冲剂	nz:1,n:1,
龙狮	n:2,
龙狮团	n:1,
龙王塘	ns:1,
龙王塘村	ns:1,
龙王潭	ns:1,
龙瑞	nr:1,
龙生	nr:4,
龙田	nr:6,
龙电	nz:1,n:1,
龙盘虎踞	i:1,
龙眠河	ns:1,
龙眼	nz:1,n:18,
龙眼树	n:4,
龙祥	nr:1,
龙窑	n:3,
龙章	nr:1,
龙竹坪	ns:1,
龙羊峡	ns:9,
龙翔	nz:15,
龙联	j:1,
龙胆草	n:1,
龙胜	ns:1,
龙脉	n:2,
龙腾	nz:2,
龙腾虎跃	i:13,
龙舞	n:1,
龙舟	nz:1,n:54,
龙舟池	ns:1,
龙舟界	n:1,
龙舟节	n:16,
龙舟节赛	j:1,
龙舟赛	n:7,
龙舟队	n:8,
龙英	nr:5,
龙虎	n:1,
龙虎山	ns:1,
龙虎斗	l:2,
龙虎滩	ns:1,
龙虾	n:3,
龙蟠虎踞	i:2,
龙蟠里	ns:1,
龙街子	ns:1,
龙身	n:5,
龙车	n:1,
龙达	nz:1,
龙钟	a:1,
龙门	ns:5,n:4,
龙门寺	ns:2,
龙门汤	ns:5,
龙门汤人	n:1,
龙门牌	nz:1,
龙门镇	ns:4,
龙雨	nr:9,
龙音	nz:1,
龙须沟	ns:5,nz:1,
龙须河	ns:3,
龙颜	n:1,
龙飞	nz:10,
龙飞凤舞	i:1,
龙首	n:1,
龙马	nz:2,
龙马湖	ns:1,
龙马潭区	ns:1,
龙驻	nr:1,
龙骨	n:1,
龙骨坡	ns:3,
龙鸟	n:1,
龙鼓	n:1,
龙（岩）	ns:1,
龚	nr:301,
龚古尔	nr:1,
龛	Ng:3,
龛图	n:2,
龟	Ng:30,n:24,
龟兔赛跑	l:3,
龟壳	n:1,
龟山	ns:1,
龟巢	n:1,
龟爪儿	n:1,
龟甲	n:2,
龟背	n:1,
龟苗	n:3,
龟裂	v:2,
	v:1,
！	w:3357,
％	w:134,m:8,
（	w:22647,
（九渊）	nt:1,
（亻儿）	nr:2,
（凡音）生	nr:1,
（北）京	ns:1,
（天）津	ns:1,
（安）康	ns:1,
（山弄）	nr:1,
（扬音）	nr:1,
（木仁）（木面）树	n:1,
（熹）	nr:1,
（申音）	nr:1,
（石）榴	n:1,
（钅宣）	nr:1,
（钅录）事	n:1,
（长）江	ns:1,
（音俊）南	nr:1,
（黄）河	ns:1,
）	w:22647,
＊	w:174,
＋	w:19,
＋＋＋	w:1,
，	w:466789,
，一点	m:1,
，也	d:1,
，冬练三九	l:1,
－	w:13,
－－	w:187,
－－－	w:311,
－－－－	w:2,
－０·１	m:4,
－０·２	m:1,
－０·３	m:1,
－０·４	m:5,
－０·５	m:4,
－０·５６	m:1,
－０·６	m:2,
－０·７	m:5,
－０·７％	m:1,
－０·８	m:4,
－０·８％	m:1,
－０·９	m:2,
－０·９０	m:1,
－０．１	m:9,
－０．２	m:9,
－０．３	m:10,
－０．３％	m:1,
－０．４	m:18,
－０．５	m:15,
－０．６	m:15,
－０．７	m:18,
－０．７％	m:1,
－０．８	m:13,
－０．９	m:8,
－１	m:2,
－１·０	m:1,
－１·１	m:1,
－１·２	m:4,
－１·３	m:1,
－１·４	m:1,
－１·５	m:3,
－１·６	m:1,
－１·７	m:3,
－１·８	m:1,
－１·９	m:1,
－１．０	m:11,
－１．１	m:8,
－１．２	m:8,
－１．３	m:6,
－１．４	m:9,
－１．５	m:6,
－１．６	m:6,
－１．７	m:7,
－１．８	m:4,
－１．８０％	m:1,
－１．９	m:4,
－１０·１％	m:1,
－１９．６８％	m:1,
－２	m:1,
－２·０	m:4,
－２·１	m:1,
－２·４	m:1,
－２·５	m:2,
－２．０	m:4,
－２．１	m:4,
－２．２	m:4,
－２．３	m:6,
－２．４	m:5,
－２．５	m:3,
－２．６	m:3,
－２．７	m:1,
－２．８	m:4,
－２．９	m:3,
－３	m:2,
－３·０	m:2,
－３·１	m:2,
－３·６	m:2,
－３·９	m:1,
－３．０	m:1,
－３．１	m:1,
－３．２	m:4,
－３．３	m:2,
－３．４	m:2,
－３．５	m:2,
－３．７	m:1,
－３．８	m:1,
－３．９	m:2,
－４·０	m:2,
－４·７	m:1,
－４·８	m:1,
－４．０	m:2,
－４．１	m:2,
－４．２	m:3,
－４．３	m:1,
－４．５	m:1,
－５·３	m:1,
－５．２	m:2,
－５．３	m:1,
－５．９	m:2,
－５７２	m:1,
－６·２１％	m:1,
－９	m:1,
．	w:6,
／	w:386,m:1,
０	m:64,
０·０	m:6,
０·０１	m:2,
０·０２	m:3,
０·０２％	m:1,
０·０６	m:2,
０·０９	m:1,
０·０９４	m:1,
０·１	m:8,
０·１万	m:1,
０·１％	m:2,
０·１０	m:1,
０·１２	m:1,
０·１３	m:2,
０·１５	m:2,
０·１５３万	m:1,
０·１６	m:3,
０·１８	m:1,
０·１９	m:1,
０·２	m:5,
０·２％	m:2,
０·２１	m:1,
０·２２	m:1,
０·２３	m:1,
０·２４	m:3,
０·２５	m:6,
０·２５％	m:1,
０·２７％	m:1,
０·２８	m:1,
０·２９	m:1,
０·３	m:6,
０·３％	m:2,
０·３０２	m:1,
０·３１	m:1,
０·３１万	m:1,
０·３２	m:1,
０·３３	m:1,
０·３３５	m:1,
０·３４１	m:1,
０·３６	m:1,
０·３７	m:1,
０·３８	m:1,
０·４	m:7,
０·４％	m:2,
０·４０	m:1,
０·４１	m:1,
０·４５	m:2,
０·４７	m:2,
０·４８	m:2,
０·４９	m:2,
０·５	m:11,
０·５％	m:2,
０·５２	m:1,
０·５３	m:1,
０·５４	m:2,
０·５５	m:1,
０·５５％	m:1,
０·５６	m:1,
０·５７	m:1,
０·６	m:13,
０·６％	m:3,
０·６０	m:2,
０·６０３	m:1,
０·６１	m:1,
０·６４	m:1,
０·６４％	m:1,
０·６７	m:2,
０·６９	m:1,
０·７	m:9,
０·７万	m:2,
０·７％	m:4,
０·７１	m:1,
０·７２	m:2,
０·７３	m:1,
０·７４	m:2,
０·７５	m:1,
０·７６	m:1,
０·７７	m:1,
０·７８	m:1,
０·８	m:7,
０·８％	m:3,
０·８１	m:1,
０·８５	m:1,
０·８６	m:1,
０·８７	m:1,
０·８９％	m:1,
０·９	m:6,
０·９％	m:1,
０·９０	m:1,
０·９１	m:3,
０·９２	m:2,
０·９３	m:1,
０·９４	m:1,
０·９５	m:2,
０·９８	m:1,
０·９９	m:1,
０∶０	m:32,
０∶１	m:17,
０∶２	m:31,
０∶３	m:17,
０∶４	m:1,
０∶５	m:3,
０∶６	m:5,
０∶６９	m:1,
０∶７	m:2,
０时	t:4,
０．０	m:23,
０．００１％	m:1,
０．００８	m:1,
０．０１	m:2,
０．０１％	m:1,
０．０１３	m:1,
０．０１６	m:1,
０．０２	m:3,
０．０２％	m:2,
０．０２５	m:1,
０．０２６５	m:1,
０．０３	m:1,
